"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"IDA & IBRD total","IBT","Surface area (sq. km)","AG.SRF.TOTL.K2","","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98538849","98536729","98536729","98538769","98538759","98538759","98538759","98538759","98538759","98538759","98538759","98537419","98537429","98537429","98538099","98538129","98538159","98538249","98531326","98531336","98531406","98531396","98504136","98504136","98498969","98498979.2","98499029.2","98499092.7","98533464.614","98535360.969","98535320.93","98535288.599","98535144.542","98532616.362","98532526.151","98532807.929","98551866.433","98582745.712","98580899.258","98588377.941","98589341.42","98592827.083","98592390.483","98592212.788","98587726.34","",
"IDA total","IDA","Surface area (sq. km)","AG.SRF.TOTL.K2","","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25528261","25521338","25521338","25521338","25521338","25521338","25521338","25518041","25518041","25518041","25518041","25552392.114","25552391.169","25552360.93","25552328.599","25552345.542","25552356.862","25552351.451","25552630.029","25571696.533","25571664.412","25569646.958","25574525.541","25574513.92","25574855.283","25574450.383","25574443.118","25574402.871","",
"IDA blend","IDB","Surface area (sq. km)","AG.SRF.TOTL.K2","","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4457950","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4454653","4459474","4459474","4459474","4459474","4459474","4459474","",
"Indonesia","IDN","Surface area (sq. km)","AG.SRF.TOTL.K2","","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910931","1913580","1913580","1916820","1916862.2","1916906.77","1916906.77","",
"IDA only","IDX","Surface area (sq. km)","AG.SRF.TOTL.K2","","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21070311","21063388","21063388","21063388","21063388","21063388","21063388","21063388","21063388","21063388","21063388","21097739.114","21097738.169","21097707.93","21097675.599","21097692.542","21097703.862","21097698.451","21097977.029","21117043.533","21117011.412","21114993.958","21115051.541","21115039.92","21115381.283","21114976.383","21114969.118","21114928.871","",
"Isle of Man","IMN","Surface area (sq. km)","AG.SRF.TOTL.K2","","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","",
"India","IND","Surface area (sq. km)","AG.SRF.TOTL.K2","","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","",
"Not classified","INX","Surface area (sq. km)","AG.SRF.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Surface area (sq. km)","AG.SRF.TOTL.K2","","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","",
"Iran, Islamic Rep.","IRN","Surface area (sq. km)","AG.SRF.TOTL.K2","","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","",
"Iraq","IRQ","Surface area (sq. km)","AG.SRF.TOTL.K2","","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","438320","435240","435240","435240","435240","435052","435052","435052","435052","435052","435052","435052","435052","",
"Iceland","ISL","Surface area (sq. km)","AG.SRF.TOTL.K2","","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","",
"Israel","ISR","Surface area (sq. km)","AG.SRF.TOTL.K2","","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","",
"Italy","ITA","Surface area (sq. km)","AG.SRF.TOTL.K2","","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302069","302068","302068","",
"Jamaica","JAM","Surface area (sq. km)","AG.SRF.TOTL.K2","","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","",
"Jordan","JOR","Surface area (sq. km)","AG.SRF.TOTL.K2","","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","89320","89320","89320","89320","89320","89320","89320","89320","89320","89320","89318","89318","",
"Japan","JPN","Surface area (sq. km)","AG.SRF.TOTL.K2","","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377800","377880","377890","377900","377910","377910","377920","377930","377940","377947","377950","377955","377960","377962","377962","377971","377970","377970","377974","377974","377974","",
"Kazakhstan","KAZ","Surface area (sq. km)","AG.SRF.TOTL.K2","","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724900","",
"Kenya","KEN","Surface area (sq. km)","AG.SRF.TOTL.K2","","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","",
"Kyrgyz Republic","KGZ","Surface area (sq. km)","AG.SRF.TOTL.K2","","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199950","199949","199949","199949","199949","199949","199949","199949","199950","199950","199950","199949","199950","",
"Cambodia","KHM","Surface area (sq. km)","AG.SRF.TOTL.K2","","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","181040","",
"Kiribati","KIR","Surface area (sq. km)","AG.SRF.TOTL.K2","","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","",
"St. Kitts and Nevis","KNA","Surface area (sq. km)","AG.SRF.TOTL.K2","","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","",
"Korea, Rep.","KOR","Surface area (sq. km)","AG.SRF.TOTL.K2","","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99260","99540","99590","99600","99620","99650","99680","99720","99830","99900","100030","100030","100150","100266","100280","100295","100339","100360","100370","100400","100410","",
"Kuwait","KWT","Surface area (sq. km)","AG.SRF.TOTL.K2","","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","",
"Latin America & Caribbean (excluding high income)","LAC","Surface area (sq. km)","AG.SRF.TOTL.K2","","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18501460","18474270","18474270","18474270","18474270","18474270","18474270","18474270","18474270","18474270","18474270","18474270","18474270","18474262","18474262","18474260","18474261","18474256","18474256","18474256","18474256","18474257","18474257","18473126.05","",
"Lao PDR","LAO","Surface area (sq. km)","AG.SRF.TOTL.K2","","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","",
"Lebanon","LBN","Surface area (sq. km)","AG.SRF.TOTL.K2","","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","",
"Liberia","LBR","Surface area (sq. km)","AG.SRF.TOTL.K2","","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","",
"Libya","LBY","Surface area (sq. km)","AG.SRF.TOTL.K2","","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","",
"St. Lucia","LCA","Surface area (sq. km)","AG.SRF.TOTL.K2","","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","620","",
"Latin America & Caribbean","LCN","Surface area (sq. km)","AG.SRF.TOTL.K2","","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452718","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20452628","20425438","20425438","20425438","20425438","20425438","20425438","20425438","20425438","20425438","20425438","20425438","20425438","20425430","20425480","20425478","20425479","20425374","20425374","20425978","20425978","20425979","20425979","20424848.05","",
"Least developed countries: UN classification","LDC","Surface area (sq. km)","AG.SRF.TOTL.K2","","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20768411","20761488","20761488","20761488","20761488","20761488","20761488","20761488","20761488","20761488","20761488","20795839.114","20795838.169","20795807.93","20795775.599","20795792.542","20795804.862","20795799.451","20796078.029","20815144.533","20815112.412","20814268.958","20814322.541","20814309.92","20814651.283","20814246.383","20814250.118","20814208.871","",
"Low income","LIC","Surface area (sq. km)","AG.SRF.TOTL.K2","","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","15972150","16008184.114","16008183.169","16008152.93","16008120.599","16008137.542","16008149.862","16008144.451","16008423.029","16027489.533","16027457.412","16027443.958","16027497.541","16027484.92","16027479.283","16027485.383","16027489.118","16027447.871","",
"Liechtenstein","LIE","Surface area (sq. km)","AG.SRF.TOTL.K2","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","",
"Sri Lanka","LKA","Surface area (sq. km)","AG.SRF.TOTL.K2","","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","65610","",
"Lower middle income","LMC","Surface area (sq. km)","AG.SRF.TOTL.K2","","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25639751","25639751","25641791","25641871","25641871","25641871","25641871","25641871","25641871","25641871","25640531","25640541","25640541","25641211","25641241","25641271","25641281","25634358","25634358","25634358","25634358","25634358","25634358","25629191","25629201","25629251","25629261","25627582","25629480","25629480","25629480","25629319","25629318","25629221","25629224","25629218","25629227","25627494","25634969","25634970","25638553","25638194.2","25638297.77","25638328.519","",
"Low & middle income","LMY","Surface area (sq. km)","AG.SRF.TOTL.K2","","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96239573","96239573","96241613","96241693","96241693","96241693","96241693","96241693","96241693","96241693","96240353","96240363","96240363","96241033","96241063","96241093","96241183","96234260","96234270","96234270","96234260","96207070","96207070","96201903","96201913.2","96201963.2","96201972.7","96236348.614","96238244.969","96238214.93","96238182.599","96238038.542","96235510.362","96235410.151","96235691.929","96254750.433","96254136.712","96252390.258","96259868.941","96260228.42","96263714.083","96263267.483","96263089.788","96258586.34","",
"Lesotho","LSO","Surface area (sq. km)","AG.SRF.TOTL.K2","","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","",
"Late-demographic dividend","LTE","Surface area (sq. km)","AG.SRF.TOTL.K2","","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45819909.9","45819909.9","45821949.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45822029.9","45820689.9","45820699.9","45820699.9","45821369.9","45821399.9","45821429.9","45821529.9","45821529.9","45821539.9","45821539.9","45821529.9","45821529.9","45821529.9","45819130.9","45819141.1","45819191.1","45819200.6","45819215.4","45821112.7","45821102.9","45821102.9","45820946.9","45820951.4","45820861.6","45820863.8","45820855.8","45820582.2","45820732.2","45820682.3","45821658.4","45821562.7","45821487.8","45821273.8","45816817.599","",
"Lithuania","LTU","Surface area (sq. km)","AG.SRF.TOTL.K2","","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65286","65286","65286","65286","65290","65290","65290","",
"Luxembourg","LUX","Surface area (sq. km)","AG.SRF.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","",
"Latvia","LVA","Surface area (sq. km)","AG.SRF.TOTL.K2","","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64594","64590","",
"Macao SAR, China","MAC","Surface area (sq. km)","AG.SRF.TOTL.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","26","27","27","28","28","28.6","29.2","29.2","29.5","29.7","29.9","29.9","30.3","30.3","30.4","30.5","30.8","32.9","32.9","32.9","",
"St. Martin (French part)","MAF","Surface area (sq. km)","AG.SRF.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","50","50","50","50","50","50","",
"Morocco","MAR","Surface area (sq. km)","AG.SRF.TOTL.K2","","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","",
"Monaco","MCO","Surface area (sq. km)","AG.SRF.TOTL.K2","","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","2.027","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","74.92","",
"Moldova","MDA","Surface area (sq. km)","AG.SRF.TOTL.K2","","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33760","33840","33840","33850","33850","33840","33840","33840","33840","33840","33840","33840","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","",
"Madagascar","MDG","Surface area (sq. km)","AG.SRF.TOTL.K2","","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587295","587295","587295","587295","587295","587295","587295","587295","587295","587295","",
"Maldives","MDV","Surface area (sq. km)","AG.SRF.TOTL.K2","","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","",
"Middle East & North Africa","MEA","Surface area (sq. km)","AG.SRF.TOTL.K2","","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388307.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388327.9","11388337.9","11388347.9","11388357.9","11388357.9","11388367.9","11388377.9","11385837.9","11385839.9","11385844.9","11385847.9","11385659.9","11385540.9","11385548.9","11385549.9","11385550.9","11385550.9","11385551.9","11385553.9","",
"Mexico","MEX","Surface area (sq. km)","AG.SRF.TOTL.K2","","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964375","1964375","1964375","1964375","1964375","1964375","1964375","",
"Marshall Islands","MHL","Surface area (sq. km)","AG.SRF.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","",
"Middle income","MIC","Surface area (sq. km)","AG.SRF.TOTL.K2","","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80267423","80267423","80269463","80269543","80269543","80269543","80269543","80269543","80269543","80269543","80268203","80268213","80268213","80268883","80268913","80268943","80269033","80262110","80262120","80262120","80262110","80234920","80234920","80229753","80229763.2","80229813.2","80229822.7","80228164.5","80230061.8","80230062","80230062","80229901","80227360.5","80227265.7","80227268.9","80227260.9","80226679.3","80224946.3","80232371.4","80232743.5","80236234.8","80235782.1","80235600.67","80231138.469","",
"North Macedonia","MKD","Surface area (sq. km)","AG.SRF.TOTL.K2","","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","",
"Mali","MLI","Surface area (sq. km)","AG.SRF.TOTL.K2","","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","",
"Malta","MLT","Surface area (sq. km)","AG.SRF.TOTL.K2","","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","",
"Myanmar","MMR","Surface area (sq. km)","AG.SRF.TOTL.K2","","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","",
